family,book,n,diff,lo,hi,how,z,verdict,dep,n_eff,sec
setups120,61,124860,-0.0366233162475305,-0.0778421407258227,0.0052818182747517,day_block,-1.7270683992632927,NULL,1,967,8.0
setups120,62,124810,0.0414824725582887,-0.0053161790222667,0.0865878046481764,day_block,1.769328153103371,NULL,1,965,8.2
setups120,63,126587,-0.0279866626641491,-0.0695271274330697,0.0140246748868193,day_block,-1.3130261652971902,NULL,1,981,8.6
setups120,64,125753,0.0356620051476572,-0.0081896876182069,0.0803347254731245,day_block,1.5791405741399325,NULL,1,977,8.2
setups120,65,126551,-0.0187116203480544,-0.0600393900202322,0.023062189992895,day_block,-0.8826330921279931,NULL,1,985,8.0
setups120,66,124676,0.0211002855401201,-0.0223283112010391,0.0637852781636667,day_block,0.9604941648223968,NULL,1,977,7.5
setups120,67,124637,-0.01181211036851,-0.0534764032148267,0.0313400676515551,day_block,-0.5459154536806553,NULL,1,965,7.3
setups120,68,125524,-0.0139764061056051,-0.0569944426902278,0.0302934291762833,day_block,-0.6276531259293063,NULL,1,971,7.4
setups120,69,125093,0.0040784850737717,-0.0400096360810145,0.0478424973667793,day_block,0.1819804165343405,NULL,1,967,7.4
setups120,70,127006,-0.0208962321990036,-0.0626850520815362,0.0222393757648358,day_block,-0.9645249048901888,NULL,1,992,7.3
setups120,71,122575,-0.0144498660683933,-0.0573840902659021,0.0276822302299861,day_block,-0.6658620505454089,NULL,1,946,6.5
setups120,72,126894,0.0082581776916167,-0.0365338292330513,0.0510236053399705,day_block,0.3697168849247921,NULL,1,990,7.0
setups120,73,124854,0.0035910124358585,-0.0400528047128,0.04884076799652,day_block,0.1583523956416962,NULL,1,974,6.9
setups120,74,124915,-0.0280445113343738,-0.071149269598382,0.0137565019609161,day_block,-1.2947584505389331,NULL,1,964,6.9
setups120,75,124950,0.012953968787515,-0.030499738238383,0.0577623665339093,day_block,0.5753162706952242,NULL,1,974,7.0
setups120,76,125063,0.008329632798403,-0.0356186090495606,0.0524321701855148,day_block,0.370826483534078,NULL,1,976,7.1
setups120,77,126315,0.0074919742970618,-0.0355803493906827,0.0511827910432699,day_block,0.3384847491163475,NULL,1,983,7.7
setups120,78,125889,-0.0198274066836657,-0.0631090255652397,0.0244605097098754,day_block,-0.8875461812434081,NULL,1,971,6.9
setups120,79,125119,-0.0086187320337703,-0.0520132305927271,0.0351469952845142,day_block,-0.3876172724845479,NULL,1,969,7.0
setups120,80,125822,-0.0280170161021123,-0.0695112457177482,0.0161794199886141,day_block,-1.2816411798160032,NULL,1,976,7.3
setups120,81,125987,-0.0052182844261708,-0.0494475021232762,0.0387071725569044,day_block,-0.2320387354195489,NULL,1,990,7.4
setups120,82,124580,0.0312998287579602,-0.0112636655077226,0.0743906916721471,day_block,1.43242071020257,NULL,1,963,7.1
setups120,83,126087,0.0081189443268009,-0.0378035789457431,0.0519880880643649,day_block,0.35443909503858,NULL,1,974,7.2
setups120,84,124000,-0.037403148924731,-0.0806200529030914,0.0092196228487314,day_block,-1.6319922075770446,NULL,1,970,7.3
setups120,85,124300,-0.026463592384017,-0.0689670526130021,0.0156754691925419,day_block,-1.2255704881408709,NULL,1,966,7.3
setups120,86,126467,-0.0071967332716569,-0.0512928667219289,0.0356453130053273,day_block,-0.3244912229425857,NULL,1,986,7.5
setups120,87,124812,0.0345461729107245,-0.0095532615404843,0.0803643516403694,day_block,1.506028748930643,NULL,1,975,7.4
setups120,88,125992,0.0184781494063115,-0.0282374225788755,0.0637858978605235,day_block,0.7871158625892459,NULL,1,984,7.4
setups120,89,123465,0.0271682403920141,-0.0206599054331928,0.0731065838482393,day_block,1.135774060002862,NULL,1,955,7.0
unclustered,60,5000,0.0203577199999998,-0.013806981000002,0.0551839873333318,phase3_block,1.1566846874593362,NULL,1,2287,0.8
unclustered,61,5000,0.0088465866666669,-0.0247999796666663,0.0434011746666671,phase3_block,0.5084662146568045,NULL,1,2296,0.7
